Id,GameId,Name,NativeName,Summary,Type,Description,Rules,Reference,Origin,Author,Publisher,Date,OriginPoint,EvidenceRange,SelfContained,Notes,DisableWebApp,WishlistRuleset
13,7,20 Squares Liver Model,,Played on a board shaped to resemble a liver.,5,"This board type is thought to have come from the game's use in divination, as the liver was used in such rituals. ",Twenty Squares board with the central long track bent to one side. ,Future reconstruction.,,,,,"33°37'26.23""N, 35°49'16.23""E","2100,3324",0,,0,1
14,7,Double 20 Squares,,Played on a doubled 20 Squares board.,5,,"Two twenty squares boards connected via the long central track forming a dumbbell shape with 31 playing spaces. Spaces marked at squares 4, 8, 12, 16, 20 on each board.",Future reconstruction.,,,,,"31°1'57.66""N, 30°39'15.8""E","1800,3324",0,,0,1
17,1414,Gabata (Adwa),,Played in Adwa.,3,Played in the Adwa region and as described to R. Pankhurst by Alamayehu Gabra Heywat and Haylu Belay from the Adowa area.,"3x6 board. Three counters per hole. Each player owns the row closest to them and the right half of the central row. Sowing occurs in the following direction: from left to right in the player's full row, right to left in the player's half of the central row, proceeding to the opponent's full row and sowing right to left, then left to right in the opponent's part of the central row, then proceeding back to the player's full row and proceeding as before. Sowing always begins from a player's own holes. When the last counter falls into an empty hole, the turn ends. If the last counter falls into an occupied hole, the contents of that hole are picked up and sowing continues. A hole is captured by dropping the last counter of a sowing into an opponent's hole which contains three counters, making it have four counters, and becomes a wegue. Captures cannot be made until after the original three counters placed in the holes at the beginning of the game have been moved. Once a wegue is created, the player cannot sow from it. When the final counter of a sowing lands in a wegue owned by the opponent, the player captures two counters from it. Play continues until all of the counters are captured or all of the counters are accumulated in wegue. A new round begins. Players then collect the counters in their captured holes. They count their takings by filling their holes with three counters each as in the beginning, and the player would own every hole they could fill with three counters. If the player has two counters remaining, they also gain another hole and the opponent surrenders their extra counter. At the end of play, if a player captures the opponent's single remaining hole as a wegue, the player captured three counters from it, leaving one for the opponent to continue to play. Play continues until one player cannot fill any holes.",Pankhurst 1971: 164-165.,Ethiopia,,,,"14°9'47.41""N, 38°53'36.72""E","5477,5477",0,,0,0
18,320,Gabata (Aksum),,Played near Aksum.,3,"These rules were described to R. Pankhurst by Wasihun Tatamke, Amha Sahay, and Abraha Berhe from Aksum.","3x6 board. Play begins with three counters per hole. Each player owns the row closest to them and the right half of the central row. Sowing occurs in the following direction: from left to right in the player's full row, right to left in the player's half of the central row, proceeding to the opponent's full row and sowing right to left, then left to right in the opponent's part of the central row, then proceeding back to the player's full row and proceeding as before. Sowing always begins from a player's own holes. A player can not sow from their left hand hole in their main row unless it has more than three counters, unless there is no other option. When the last counter falls into an empty hole, the turn ends. If the last counter falls into an occupied hole, the contents of that hole are picked up and sowing continues. A hole is captured by dropping the last counter of a sowing into an opponent's hole which contains three counters, making it have four counters, and becomes a wegue. Captures cannot be made until after the original three counters placed in the holes at the beginning of the game have been moved. Once a wegue is created, the player cannot sow from it. When the final counter of a sowing lands in a wegue owned by the opponent, the player captures two counters from it. Play continues until all of the counters are captured or all of the counters are accumulated in wegue. A new round begins. Players then collect the counters in their captured holes. They count their takings by filling their holes with three counters each as in the beginning, and the player would own every hole they could fill with three counters. If the player has two counters remaining, they also gain another hole and the opponent surrenders their extra counter. At the end of play, if a player captures the opponent's single remaining hole as a wegue, the player captured three counters from it, leaving one for the opponent to continue to play. Play continues until one player cannot fill any holes.",Pankhurst 1971: 164-165.,Ethiopia,,,,"14°7'55.67""N, 38°43'8.99""E","5477,5477",0,,0,0
19,125,Pucheesee (Deccan six cowries),,Observed in the Deccan by G. Herklots.,3,Pucheesee was observed in the early 19th century by G. Herklots in the Deccan region of India. This version uses six cowrie shells as dice.,"Four pieces per player. Play begins in the central row of each player's arm of the board. Values of the cowries are: 0=6, 1=10, 2=2, 3=3, 4=4, 5=25, 6=12. A roll of 25 adds an extra move of 1. This extra move can be assigned to any piece or allows the player to move a piece onto the board. Play proceeds in an anti-clockwise direction. Pieces on a space marked ""x"" are safe from being captured. Players throw dice until they receive a 2, 3, or 4, and then move. The value of an individual roll can only move one piece, but multiple pieces can be moved in turns with multiple rolls. If a player rolls the same number three times in a row, it does not count.",Herklots 1832:lviii-lix.,,,,,"17°4'9.81""N, 81°33'46.71""E","5332,5332",0,,0,1
21,125,Pucheesee (Deccan seven cowries),,Observed in the Deccan by G. Herklots. ,3,Pucheesee was observed in the early 19th century by G. Herklots in the Deccan region of India. This version uses seven cowrie shells as dice.,"Four pieces per player. Play begins in the central row of each player's arm of the board. Values of the cowries are: 0=6, 1=10, 2=2, 3=3, 4=4, 5=25, 6=30, 7=12. Rolls of 25 and 30 add an extra move of 1, this extra can be assigned to any piece or allows the player to move a piece onto the board. Pieces on a space marked ""x"" are safe from being captured. Players throw dice until they receive a 2, 3, or 4, and then move. The value of an individual roll can only move one piece, but multiple pieces can be moved in turns with multiple rolls. If a player rolls the same number three times in a row, it does not count.",Herklots 1832:lviii-lix.,,,,,"15°28'53.18""N, 76°8'28.06""E","5332,5332",0,,0,1
22,640,Sokkattan (Sri Lanka),,Rules for Sokattan.,3,These rules were played in the early twentieth century in Sri Lanka.,"Four 3x8 rectangles, arranged in a cross shape around a large central square space. Squares marked with ""X"" (counting from top of each row): fifth in each outer row, fourth in central row. Four players playing on two teams. Three pieces per player. Play begins in the central row of each player's arm of the board. Six cowrie shells used as dice. Values of the cowries are: 0=6, 1=10, 2=2, 3=3, 4=4, 5=25, 6=12. A roll of 10 or 25 adds an extra move of 1. This extra move must be used to enter a new piece on the board if possible, if not possible then it can be assigned to any piece. Pieces on a space marked ""x"" are safe from being captured. Players play until they throw a 2, 3, or 4. The value of an individual roll can only move one piece, but multiple pieces can be moved in turns with multiple rolls. Pieces enter the board with a throw of 10 or 25. Pieces enter the board from the central square onto the central row of their arm of the cross, and then anti-clockwise around the board, then back up the central row of their arm, entering the central square only with an exact throw. The first team to move all of their pieces into the central square wins.",Parker 1909: 619-621.,Sri Lanka,,,,"8°23'4.97""N, 79°51'9.65""E","5406,5406",0,,0,0
23,215,Murray,,Unplayable ruleset reported by H.J.R. Murray.,3,"These are reported as the main ruleset of Ako Okwe as observed by K.C. Murray in Calabar Province, Nigeria. It is not playable because it is impossible to make the first capture.",The first capture must be of one counter.,Murray 1951: 192.,,,,,"5°23'12.66""N, 7°54'15.47""E","5451,5451",0,,0,0
24,38,Two Counters,,Played with two counters per hole.,3,"This is the same game, but played starting with two counters in each hole. ",Play starts with two counters in each hole.,Lumholtz 1920: 435-437.,,,,,"1°46'26.05""N, 112°58'58.32""E","5413,5417",0,,0,0
25,38,Four Counters,,Played with four counters per hole.,3,"This is the same game, but played starting with four counters in each hole. ",Ply starts with four counters in each hole.,Lumholtz 1920: 435-437.,,,,,"1°1'33.42""N, 110°22'19.44""E","5413,5417",0,,0,0
26,38,Five Counters,,Played with five counters per hole. ,3,"This is the same game, but played starting with five counters in each hole. ",Play starts with five counters in each hole.,Lumholtz 1920: 435-437.,,,,,"2°49'11.23""N, 117°42'47.3""E","5413,5417",0,,0,0
27,346,Damohoita,,Play must begin from the rightmost hole. ,3,"In this version of the game, there is a required first play by each player. Play must begin from the rightmost hole for each player on their first turn.",Two rows of ten holes Four counters in each hole First play must be from the rightmost hole.,Pankhurst 1971: 180.,,,,,"12°0'31.7""N, 41°36'7.5""E","5471,5471",0,,0,0
28,263,Six Holes,,Played with six holes per player.,3,"This is the same game, but played with six holes per player.",Two rows of six holes.,And 1979: 52.,,,,,"40°43'26.98""N, 32°3'57.4""E","5479,5479",0,,0,0
30,215,Umuahia,,"Observed in Umuahia, Nigeria in the early 20th century.",3,"This ruleset was observed by K.C. Murray in the early 20th century in Umuahia, Nigeria.","Played on a board with two rows of five holes with store holes on either side. To start, ten counters are placed in each hole except the stores. Play begins from any of a player's holes, and sowing proceeds in either direction, at the player's choice. The first seed is sown in the hole from which play started. When the last counter of a sowing falls into a hole, making the contents of that hole odd (but not more than nine), the counters are captured. The first capture must be of three counters, the second of one counter.",Murray 1951: 192.,Nigeria,,,,"5°31'29.30""N, 7°29'33.22""E","5451,5451",0,,0,0
32,4,Historical Information,,Known information about Ludus Latrunculorum. ,5,Rules that are known based on evidence from DLP. ,Played on a rectangular grid. 6x7 to 14x14. Two players. Pieces move orthogonally. Pieces can be blocked. Custodial captures. ,DLP evidence. ,,,,,"41°49'31.40""N, 1°20'16.36""E","3320,4199",0,,0,1
197,176,Saturankam,,Rules for Saturankam.,1,These rules were played in Sri Lanka in the early twentieth century.,"9x9 board, with the central square of each side marked, as well as the central space of the board. Two to four players, each player with two pieces. Played with two four-sided dice, marked 1, 3, 4, 6. Throws may be divided as the players see fit between their pieces. Doubles allow another throw. Players start with their pieces on the marked square on their side of the board. Pieces move along a spiraling track, starting in an anti-clockwise direction around the outer edges of the board, then changing to a clockwise direction when reaching the 32nd space in the track, and continuing in this direction in a spiral pattern until reaching the central square. If a player lands on a space occupied by an opponent's piece, the opponent's piece is removed from the board, and the player must throw a double 1 to enter it again on their starting square. Pieces resting on a marked space are safe from being sent to the start. The goal is to reach the central square with both pieces, which must be reached by an exact throw. If a piece is 1, 3, or 4 spaces from the center, the player must throw doubles of that number to reach the goal.
",Parker 1909: 605-607.,South Asia.,,,,"7°33'48.7""N, 81°20'13.26""E","5409,5409",0,,0,0
229,208,Oron,,"Played in Oron, Nigeria.",1,"These rules were played in Oron, Nigeria in the early twentieth century.","Two rows of six holes with two stores. Four counters in each hole. Players sow in an anti-clockwise direction from a hole in their row. Sowing ends when the last counter falls into a hole, making it contain four counters, which are taken. Sowing also ends when the last counter falls into an empty hole. Sowing continues in any other scenario by picking up the contents of the hole where the last counter was dropped and continuing to sow. The game ends when one player can no longer move. The remaining counters are taken by the last player that was able to move and put into the store. A new round begins: The winner of the previous round now owns seven holes - the six in his row and the next hole in the opponent's row. Player takes fours from the extra hole.",Murray 1951: 186.,,,,,"4°47'35.35""N, 8°13'51.55""E","5451,5451",0,,0,0
230,209,J'erin,,Rules played by the Yoruba.,1,These rules were played by the Yoruba people in southern Nigeria in the early twentieth century.,"2x6 board. Four counters in each hole. Sowing proceeds in an anti-clockwise direction. When the final counter of a sowing lands in an occupied hole, the counters are picked up and sowing continues. When the final counter lands in an occupied hole in the player's own row causing it to contain four counters, these are captured and the turn ends. If the final counter falls into an empty hole, the turn ends. If at any point in the sowing a hole in the player's own row is made to contain four counters, they are taken. When there are only eight counters left on the board, the first player to make four counters in a hole captures all the remaining counters. At the end of the game, players place their captured counters four by four into the remaining holes. Players may thus capture holes from the opponent's row, one for every four counters placed in a hole. They may capture from these holes in the next round. Play continues until one player owns no holes.",Newberry 1939: 79-80.,Nigeria,,,,"5°10'35.14""N, 7°43'2.75""E","5439,5439",0,,0,0
231,210,Basden,,Played in Nigeria.,1,"These rules were played in the eaarly twentieth century by the Ibo, Edo, Umon, Ibibio and Owerri people of Nigeria.","2x10-20 board, 10 most common. Opening arrangement: Each player has this opening arrangement (number of counters in each hole, starting from the leftmost hole): 5-5-5-5-5-5-5-1-1-5-1-0-0-0-0-0-0-0-0-0. Boards have even numbers of holes, and the farthest left and farthest right holes are eliminated in succession from this opening arrangement to make smaller boards. The challenger concedes the first move. Opening phase: Player 1 removes the counters in the opponent's final four holes with counters and conceals them from the opponent. Player 2 removes the same counters, except leaving the single counter in the opponent's final hole with counters. Players take the counters from any of their holes and sow them in an anti-clockwise direction. When sowing, the first counter is dropped into the hole from which it just came, unless it is a single counter. If the last counter lands in the opponent's row and the opposite hole contains one, three, or five counters, theses are taken and added to the concealed store. In place of a move, a player may add some or all of the counters from the concealed store, sowing from the leftmost hole in their row. If the sowing reaches the rightmost hole in this row, sowing continues from the leftmost hole rather than continuing into the opponent's rows.",Basden 1921: 134.,Nigeria,,,,"6°35'44.01""N, 8°17'14.41""E","5421,5421",0,,0,0
232,211,Azigo,,Rules for Azigo.,1,These rules were played by Igbo people in the early twentieth century.,"2x20 board. Opening arrangement: Each player has this opening arrangement (number of counters in each hole, starting from the leftmost hole): 5-5-5-5-5-5-5-1-1-5-2-1-0-0-0-0-0-0-0-0. Opening phase: Players remove the counters in their final four holes with counters and conceals them from the opponent. Players take the counters from any of their holes and sow them in an anti-clockwise direction. When sowing, the first counter is dropped into the hole from which it just came, unless it is a single counter. If the last counter lands in the opponent's row and this hole contains one or three, counters, these are taken and added to the concealed store. Also, if the hole from which a capture was made is preceded by an unbroken sequence of holes with one or three counters, these are also taken. In place of a move, a player may add all of the counters from the concealed store, sowing from the leftmost hole in their row. If the sowing reaches the rightmost hole in this row, sowing may continue from the leftmost hole or may continue into the opponent's row. If the player continues into the opponent's row, subsequent holes after the one in which the final counter was dropped are captured if they contain one or three counters, in an unbroken sequence.",Murray 1951: 188.,Nigeria,,,,"5°44'29.25""N, 7°33'46.46""E","5451,5451",0,,0,0
233,212,Kukuba,,Reported by K.C. Murray.,1,"These rules were reported fromH.J.R> Murray as documented by K.C. Murray among the Kukuba people in Jos, Nigeria.","2x8 board. Four counters in each hole. Play begins with both players placing all of the counters in the rightmost three holes in their row into the rightmost hole. Counters are sown in an anti-clockwise fashion, but they can be sown clockwise only if it leads to a capture. Counters are captured when the final counter is sown into a hole opposite a hole containing one or three counters, and those are take. If the hole opposite the next hole also contains one or three, these are also taken, continuing until a hole with any other number of counters is reached. Instead of taking counters from one of their holes, a player may sow any or all of the counters they have captured, beginning from the leftmost hole. The same rules for sowing apply. The game ends when one player has no counters in their holes.",Murray 1951: 189-190.,,,,,"10°5'35.24""N, 8°36'29.67""E","5451,5451",0,,0,0
347,327,Beni Amir,,Rules played by the Beni Amir people.,1,"These rules were played by Debesay Genda, Fra Mikael Hajji, and Grazmach Merese Fekhakh of western Eritrea in the twentieth century.","2x6 board. Four counters in each hole. Sowing occurs in a clockwise direction when starting from the three holes on the left of the board, and in an anti-clockwise direction when starting from the three holes on the right. Sowing ends when the final counter is dropped, regardless of whether the hole is occupied or not. When the final counter is dropped into a hole containing three counters, thus making it contain four, the hole is captured. This can only be done if the hole is one of the end holes on either side of either row, or the penultimate holes on either side of the opponent's row. Sowing is not allowed from a captured hole. When no player is able to move, the player with the most counters in their captured holes wins.",Pankhurst 1971: 171.,Horn of Africa,,,,"15°42'34.93""N, 38°37'39.11""E","5471,5471",0,,0,0
348,328,Wa'ache Waledat,Wa'aché Waledat,Rules for Wa'aché Waledat.,1,These rules were played by Mohamed Sherif of Massawa.,"2x6 board. Three counters per hole. Sowing occurs in an anti-clockwise direction when starting from the right three holes of a player's row, or in a clockwise direction when starting from the player's left three holes. When the final counter falls into an occupied hole, these are picked up and sowing continues, except when this hole is made to contain four counters, in which case these counters are captured and the player takes another turn. These captures may not be made on the first turn. When the final counter lands in an empty hole, the turn ends. Play continues until one player is without counters in their row. The opponent then captures the remaining counters in their row, and the player that has captured the most counters wins.",Pankhurst 1971: 171.,Horn of Africa,,,,"15°36'28.30""N, 39°27'19.36""E","5471,5471",0,,0,0
349,329,Selus,,Rules for Selus played in Massawa.,1,"These are the rules for Selus as they were played by Sagaye Gabra Mikael of Massawa, Eritrea.","3x6 board, three counters per hole. Each player owns the row of holes closest to them, as well as the right half of the central row, with respect to their perspective. Sowing occurs from left to right in the player's complete row, right to left in the player's half of the central row, then continuing from right to left in the opponent's outer row, left to right in the opponent's holes in the central row, and then continuing as before into the player's outer row. Players sow from any of their holes, and when the final counter lands in an occupied hole, they pick up the contents and continue sowing. When the final counter falls into an empty hole, the turn ends. After the first turn, players may capture a hole when the final counter of a sowing falls into a hole containing three counters, increasing it to four. The counters in a captured hole cannot be sown. When a player drops their final counter into an occupied captured hole, two counters are captured from it. If the player captured counters from one of the holes that they had created, they begin sowing again from another of their holes, but if the capture was from a hole captured by the opponent, the turn ends. The leftmost holes in each player's row are special: a player may under no circumstance capture counters from this hole in their row, but may do so from the opponent's, gaining another turn when they do so. Play continues until all of the counters are captured or all of the counters are accumulated in captured holes. A new round begins. Players then collect the counters in their captured holes. They count their takings by filling their holes with three counters each as in the beginning, and the player would own every hole they could fill with three counters. If the player has two counters remaining, they also gain another hole and the opponent surrenders their extra counter. Play continues until one player cannot fill any holes.",Pankhurst 1971: 171-172.,Horn of Africa,,,,"15°36'28.30""N, 39°27'19.36""E","5471,5471",0,,0,0
350,330,Rab'e,,Rules played in Massawa.,1,These rules were played by Sagaye Girabra Mikael of Massawa. ,"3x6 board. Four counters per hole. Each player controls one row of holes and the half of the central row to their right. Sowing occurs from left ro right in the player's full row, right to left in their holes in the central row, then right to left in the opponent's full row, then left to right in the opponent's holes in the central row, at that point continuing into the player's full row again. When the final counter is sown into an occupied hole, the counters are picked up and sowing continues. When the final counter falls into an empty hole, the turn ends. At any point while the player sows, if a hole is made to contain four counters, these are captured, regardless of who the hole belongs to. When the final counter causes a capture, the turn ends. Play continues until a player has no counters in their holes. The opponent then captures the remaining counters. Players then redistribute their counters, four in each hole, starting from the leftmost hole in their row in the direction of play. The player with fewer counters distributes all of their counters on the board, even if they cannot place four in the final hole of the counting. The player with more counters then places four counters in the same number of holes as the other player, taking any remaining as their winnings. Play continues in this fashion until one player captures all of the counters.",Pankhurst 1971: 172.,Horn of Africa,,,,"15°36'28.30""N, 39°27'19.36""E","5471,5471",0,,0,0
351,331,Adegrat,,These rules are the version of Gabata played in Adegrat.,1,These rules were played by Tetemké Mahari of Adegrat in Ethiopia. ,"2x6 board. Three counters in each hole. Sowing occurs in an anti-clockwise direction. When the final counter falls into an occupied hole, the player picks up the counters in the next hole and continues sowing from it. If that next hole is empty, the turn ends. If the final counter falls into an empty hole, the contents of the following hole are captured. Play continues until one player can no longer play because there are no counters left on their side. The opponent then takes the remainder of the counters on the board. For the next round, each player counts out the counters they captured, placing three each of the holes in their row. For every three in excess of the amount required to fill all of the holes in a row, the player claims one hole from the opponent's row. Play continues in this fashion until one player captures all of the holes on the board.",Pankhurst 1971: 172.,Ethiopia,,,,"14°16'41.86""N, 39°27'38.21""E","5471,5471",0,,0,0
377,358,Gundru,,Described by R. Lha-Mo.,1,These rules were described by R. Lha-Mo in the early twentieth century.,"9x9 intersecting lines, pieces are played on the intersections. 16 pieces per player, one player is black, the other white. Pieces begin placed on the edge of the board: Black on the top and right, white on the bottom and left. Sixteen others are held in reserve for each player. Pieces move any distance orthogonally along the lines. Opponent's pieces are captured when they are surrounded by two of a player's pieces. When this is done, the surrounded player's pieces are removed and replaced with the pieces of the player that surrounded them. If multiple opponent's pieces are in a line and the other player places their pieces at either end of the line, all the pieces in between are captured. When a player is reduced to one piece, it gains the ability to capture by jumping. The player that removes all of their opponent's pieces wins.",Lha-Mo 1926: 143-144.,Tibet,,,,"29°23'41.79""N, 92°37'37.38""E","5426,5426",0,,0,0
434,418,Mancala World,,Rules from Mancala World.,1,Rules reported on Mancala World.com.,"Oval board. Two semi-circles on the ends are stores, the middle section divided into two rows of five squares. Five counters in each of the rows of squares and one large stone in each end space. Sowing begins in any of the squares on the player's side of the board, and proceeds in either direction. Sowing also includes both end spaces. When the final counter is sown, the contents of the next square are picked up and sowing continues. If the end space is the next space, the turn ends. When the space after the one in which the final counter fell is empty, the contents of the hole after the empty hole are captured, including the end spaces. If there is an unbroken sequence of alternating empty and occupied squares, the contents of the occupied squares are captured. If there are two or more empty squares, the turn ends. If at any time the squares in a player's rows are empty, the player must place one of their captured counters into each of their squares. The game ends when both of the large stones in the end spaces are captured. The remaining counters belong to the player on whose row they are placed. The player with the most counters wins, with the large stones counting as ten. A new game begins. Players fill their holes with their captured stones. The player with fewer counters must then ""sell"" holes on their side to the opponent to have enough counters to fill the holes. If the difference in the number of captured counters is less than ten, the opponent is given half-ownership of a space, and the contents of it at the end of the game are split between the two players. If the difference is ten, the opponent then may take all of the stones from a sold space at the end of the game. The player may regain sold spaces on subsequent rounds by capturing ten counters more than their opponent. The game is then played as before. Games are played until three or four squares in the same row have been sold.","<a href=""https://mancala.fandom.com/wiki/%C3%94_%C4%82n_Quan"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />Mancala World</a>",,,,,"20°3'2.32""N, 105°33'0.98""E","5431,5441",0,,0,0
435,419,Sakalava,,Observed by A.C. Haddon.,1,These rules were observed by A.C. Haddon in the early twentieth century and reported by H.J.R. Murray. ,"4x6, 8, or 10 holes. Eight is most common. Two counters in each hole. Sowing begins from any hole on the player's side, in either direction, but the direction chosen on the first turn must be maintained throughout the game. If the final counter lands in an empty hole, the turn ends. If the final counter lands in the outer row in an occupied hole, these are picked up and sowing continues. If the final counter lands in an occupied hole in the inner row, and the opponent's inner row hole opposite contains more than one counter, these are captured and the sowing continues from the hole from which the capture was made using the captured counters and the final counter from the sowing that caused the capture. If the opponent has no counters in any of their inner row holes, the counters in their outer row holes can be captured, in the same manner.

Evidence Map",Murray 1951: 214-215.,Madagascar,,,,"17°35'38.25""S, 48°2'18.24""E","5452,5452",0,,0,0
436,420,Lushei Kuki,,Played by the Lushei Kuki.,1,These rules were played by the Lushei Kuki people of Assam.,"2x6 board. Five counters in each hole. Sowing occurs from any hole in the player's row in a clockwise direction. If the final counter lands into an empty hole, it is captured. If there is an unbroken line of holes behind it also having single counters, these are also captured. The player who captures the most counters wins.",Shakespear 1912: 39.,,,,,"23°39'0.64""N, 92°49'40.67""E","5412,5412",0,,0,0
437,421,Mancala World,,From Mancala World website.,4,These rules are described on the Mancala World website. ,"2x6 board. Six counters in each hole. Sowing occurs from any of the holes in the player's row, and continues in a clockwise direction. If the final counter lands in a hole in the player's row containing three counters, four with the addition of the final counter, these are captured. Play continues until one player cannot move or the board position repeats. When one player cannot move, the other player captures the remaining counters. The player with the most counters wins.","<a href=""https://mancala.fandom.com/wiki/%C3%9Cnee_Tugalluulax"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />mancala.fandom.com</a>",,,,,,"0,5520",0,,0,0
438,422,Bay Khom,,Rules of Bay Khom from Cambodia.,1,These rules are from Cambodia in the mid-twentieth century.,"2x4 board with two stores on either end, the store on a player's right belonging to them. Four counters per hole, five in each store. Players sow in the direction of their choosing from one of the holes in their row, not from the stores, on each turn, sowing also into the stores. If the next hole has counters, these are picked up and sowing continues with these counters. When this next hole is empty, the counters in the next hole after that are captured and the turn ends. If there are a series of alternating empty holes and holes with counters, the counters in these holes are captured until two empty or full holes are reached. When the point of the game is reached that play cannot continue, the players claim the counters in their holes, and a new game begins. The players refill their holes, beginning with their store, which receives five counters, and four in each other. Holes are only filled with exactly four counters, any extra are set aside. If a player cannot fill any of their holes with counters, these holes are eliminated from play. Play continues in this way until one player captures all of the counters or the other player cannot fill any holes.",Porée-Maspero 1962: 65-66.,Cambodia,,,,"10°49'58.18""N, 106°6'11.56""E","5440,5445",0,,0,0
439,423,Waurie,,Rules for Waurie. ,1,Rules played in the Cayman Islands.,"Two rows of six holes with two stores. Each player owns the store to their right. Four counters in each hole. Sowing occurs from any hole in the player's row in an anti-clockwise direction. Sowing includes the player's store but not the opponent's. When the final counter lands into the player's store, they play again. When a player has no more counters in their row, they win, even if it is now the opponent's turn and they could place counters in the player's row.","<a href=""https://mancala.fandom.com/wiki/Waurie "" target=""_blank"" class=""style1"" style=""color: #0000EE"" />mancala.fandom.com</a>",Cayman Islands,,,,"19°19'45.24""N, 81°13'2.72""W","5485,5495",0,,0,0
440,424,Default,,,1,,"The rules are identical to Go, except the winning condition is to be the first to capture a stone.","<a href=""https://boardgamegeek.com/boardgame/188/go"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />BGG</a>",,,,,,"0,5520",0,,0,0
